username,noEdits,noItems,noBatchEdits,noOntoEdits,noPropEdits,noCommEdits,noTaxoEdits,minTime,timeframe,userAge
Hazard-SJ,299,250,0.0,0.0,0.0,79.0,0,2012-10-31 01:38:51,2013-01-01,1486.0
Denny,298,185,0.0,0.0,0.0,19.0,0,2012-10-29 17:03:21,2013-01-01,1518.0
Goldzahn,296,227,0.0,0.0,0.0,37.0,0,2012-10-30 17:07:26,2013-01-01,1494.0
Ra-bot-nik,295,249,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
Viswaprabha,294,94,3.0,0.0,0.0,5.0,0,2012-12-06 00:42:40,2013-01-01,623.0
Vogone,282,104,78.0,0.0,0.0,146.0,0,2012-10-30 17:48:57,2013-01-01,1494.0
Benoit Rochon,268,141,1.0,0.0,0.0,6.0,0,2009-12-30 12:53:57,2013-01-01,26339.0
NordNordWest,264,204,0.0,0.0,0.0,10.0,0,2012-10-30 22:20:40,2013-01-01,1489.0
LeastCommonAncestor,263,82,0.0,0.0,0.0,2.0,0,2012-12-07 03:03:41,2013-01-01,596.0
Wikiwal,258,254,0.0,0.0,0.0,0.0,0,2012-12-04 13:22:55,2013-01-01,658.0
Jacopo Werther,255,61,0.0,0.0,0.0,0.0,0,2012-12-10 15:34:01,2013-01-01,512.0
Brandon.macuser,253,106,0.0,0.0,0.0,3.0,0,2012-11-29 05:00:44,2013-01-01,786.0
Chris857,247,150,0.0,0.0,0.0,10.0,0,2012-10-31 02:42:13,2013-01-01,1485.0
Buggia,239,113,0.0,0.0,0.0,4.0,0,2012-10-31 15:52:40,2013-01-01,1472.0
Romaine,235,232,0.0,0.0,0.0,3.0,0,2011-10-27 17:56:44,2013-01-01,10350.0
Delusion23,233,140,2.0,0.0,0.0,39.0,0,2012-11-09 18:47:22,2013-01-01,1253.0
130.88.141.34,232,184,0.0,0.0,0.0,5.0,0,0,2013-01-01,0.0
Bene*,224,115,19.0,0.0,0.0,262.0,0,2012-10-30 16:31:06,2013-01-01,1495.0
USt,220,75,0.0,0.0,0.0,0.0,0,2012-11-25 19:55:44,2013-01-01,868.0
AlessioMela,213,108,0.0,0.0,0.0,8.0,0,2012-11-06 21:14:13,2013-01-01,1322.0
Conny,200,122,0.0,0.0,0.0,60.0,0,2012-11-01 22:16:33,2013-01-01,1441.0
NBS,199,131,6.0,0.0,0.0,1.0,0,2012-10-31 19:43:12,2013-01-01,1468.0
Avenue,197,89,0.0,0.0,0.0,10.0,0,2012-10-30 14:02:41,2013-01-01,1497.0
JoonaZZ,195,144,0.0,0.0,0.0,0.0,0,2012-12-25 18:45:55,2013-01-01,149.0
Media watch,189,39,0.0,0.0,0.0,3.0,0,2012-11-13 04:26:33,2013-01-01,1171.0
Crazy1880,176,124,0.0,0.0,0.0,0.0,0,2012-12-08 11:39:41,2013-01-01,564.0
Ltrlg,175,90,1.0,0.0,0.0,85.0,0,2012-10-30 11:09:58,2013-01-01,1500.0
WaitingForConnection,174,116,5.0,0.0,0.0,73.0,0,2012-10-31 17:09:29,2013-01-01,1470.0
DutchTreat,170,66,0.0,0.0,0.0,0.0,0,2012-12-06 02:17:03,2013-01-01,621.0
Bjankuloski06,162,81,1.0,0.0,0.0,95.0,0,2012-11-18 02:41:36,2013-01-01,1053.0
Dr.Garfbob10(2),159,37,1.0,0.0,0.0,3.0,0,2012-12-12 19:32:07,2013-01-01,460.0
Sumone10154,156,94,23.0,0.0,0.0,15.0,0,2012-11-02 18:09:44,2013-01-01,1421.0
Viscontino,154,105,0.0,0.0,0.0,1.0,0,2012-12-08 17:34:19,2013-01-01,558.0
Kristian Vangen,151,83,3.0,0.0,0.0,18.0,0,2012-12-15 14:53:02,2013-01-01,393.0
Zolo,150,38,2.0,0.0,0.0,22.0,0,2011-11-26 16:07:06,2013-01-01,9631.0
Airon90,149,77,0.0,0.0,0.0,2.0,0,2012-10-30 16:39:13,2013-01-01,1495.0
Yerpo,147,57,3.0,0.0,0.0,2.0,0,2012-10-30 14:15:29,2013-01-01,1497.0
Stq-recent changes,146,74,0.0,0.0,0.0,1.0,0,2012-11-14 21:35:27,2013-01-01,1130.0
Emw,146,104,0.0,0.0,0.0,0.0,0,2012-11-30 04:10:19,2013-01-01,763.0
Erfil,144,72,38.0,0.0,0.0,1.0,0,2012-11-17 15:27:43,2013-01-01,1064.0
Amire80,133,67,0.0,0.0,0.0,208.0,0,2012-08-11 17:55:18,2013-01-01,3414.0
Otourly,132,47,0.0,0.0,0.0,13.0,0,2012-10-30 14:41:39,2013-01-01,1497.0
Theopolisme,131,109,6.0,0.0,0.0,87.0,0,2012-11-12 03:56:57,2013-01-01,1196.0
Raymond,128,75,0.0,0.0,0.0,0.0,0,2012-10-30 09:42:14,2013-01-01,1502.0
Steak,128,122,0.0,0.0,0.0,2.0,0,2012-10-30 18:35:36,2013-01-01,1493.0
Ayack,126,62,1.0,0.0,0.0,11.0,0,2012-10-30 11:24:52,2013-01-01,1500.0
Reaper35,125,43,20.0,0.0,0.0,8.0,0,2012-11-26 20:23:48,2013-01-01,843.0
Xosema,124,40,0.0,0.0,0.0,0.0,0,2012-11-06 15:23:27,2013-01-01,1328.0
Superzerocool,121,66,0.0,0.0,0.0,4.0,0,2012-10-30 12:28:43,2013-01-01,1499.0
Iwan Novirion,118,31,0.0,0.0,0.0,10.0,0,2012-11-25 10:18:27,2013-01-01,877.0
C933103,116,33,7.0,0.0,0.0,5.0,0,2012-12-02 06:29:40,2013-01-01,713.0
Ymblanter,116,25,0.0,0.0,0.0,48.0,0,2012-10-30 11:37:25,2013-01-01,1500.0
PinkAmpersand,114,55,0.0,0.0,0.0,0.0,0,2012-12-30 04:39:39,2013-01-01,43.0
ABrocke,111,76,0.0,0.0,0.0,1.0,0,2012-12-21 13:51:29,2013-01-01,250.0
Lystopad,110,55,0.0,0.0,0.0,16.0,0,2012-12-02 18:08:31,2013-01-01,701.0
MSchnitzler2000,107,36,0.0,0.0,0.0,1.0,0,2012-10-31 12:30:53,2013-01-01,1475.0
Jitrixis,106,29,34.0,0.0,0.0,45.0,0,2012-10-30 19:29:28,2013-01-01,1492.0
WikiPuppies,105,34,2.0,0.0,0.0,0.0,0,2012-12-02 16:58:28,2013-01-01,703.0
Raoli,105,39,0.0,0.0,0.0,111.0,0,2012-10-30 21:12:02,2013-01-01,1490.0
Ĵurnalisto,103,30,0.0,0.0,0.0,0.0,0,2012-12-25 03:30:39,2013-01-01,164.0
Kondicherry,102,34,2.0,0.0,0.0,9.0,0,2012-10-30 22:11:32,2013-01-01,1489.0
Moroboshi,100,44,0.0,0.0,0.0,1.0,0,2012-10-31 06:44:15,2013-01-01,1481.0
NMaia,97,38,21.0,0.0,0.0,2.0,0,2012-12-25 23:13:53,2013-01-01,144.0
Lukas²³,96,54,11.0,0.0,0.0,116.0,0,2012-11-10 21:05:08,2013-01-01,1226.0
Harsh4101991,96,30,7.0,0.0,0.0,6.0,0,2012-12-09 06:39:33,2013-01-01,545.0
Appo92,96,60,0.0,0.0,0.0,0.0,0,2012-11-01 12:52:57,2013-01-01,1451.0
Skull33,92,50,0.0,0.0,0.0,0.0,0,2012-10-30 14:38:55,2013-01-01,1497.0
LeafGreen,91,25,0.0,0.0,0.0,1.0,0,2012-12-21 01:50:29,2013-01-01,262.0
Romero,90,58,1.0,0.0,0.0,2.0,0,2012-10-30 22:20:46,2013-01-01,1489.0
Merlissimo,88,42,3.0,0.0,0.0,76.0,0,2012-10-30 15:54:44,2013-01-01,1496.0
46.1.42.6,86,1,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
Sebleouf,82,52,19.0,0.0,0.0,1.0,0,2012-10-30 17:34:02,2013-01-01,1494.0
EUvin,80,28,0.0,0.0,0.0,2.0,0,2012-11-29 21:57:07,2013-01-01,770.0
Mugnozzo,80,24,0.0,0.0,0.0,1.0,0,2012-12-02 16:53:45,2013-01-01,703.0
Cqdx,80,76,0.0,0.0,0.0,0.0,0,2012-12-08 15:11:10,2013-01-01,560.0
Justincheng12345,80,30,1.0,0.0,0.0,75.0,0,2012-11-04 06:48:14,2013-01-01,1385.0
LukasWenger,78,36,0.0,0.0,0.0,1.0,0,2012-12-18 11:32:46,2013-01-01,324.0
Igna,78,41,0.0,0.0,0.0,25.0,0,2012-10-31 01:35:44,2013-01-01,1486.0
TarzanASG,77,23,2.0,0.0,0.0,6.0,0,2012-12-06 11:04:42,2013-01-01,612.0
Rschen7754 public,77,39,0.0,0.0,0.0,1.0,0,2012-12-13 19:32:10,2013-01-01,436.0
FuzzyBot,76,44,0.0,0.0,0.0,330.0,0,0,2013-01-01,0.0
朝彦,71,31,0.0,0.0,0.0,105.0,0,2012-12-07 02:21:34,2013-01-01,597.0
Shirayuki,71,46,0.0,0.0,0.0,31.0,0,2012-11-22 11:43:21,2013-01-01,948.0
Tommyang,68,24,20.0,0.0,0.0,0.0,0,2012-11-10 14:39:52,2013-01-01,1233.0
Tiptoety,66,57,0.0,0.0,0.0,10.0,0,2010-01-26 18:26:29,2013-01-01,25685.0
SimmeD,66,20,0.0,0.0,0.0,91.0,0,2012-11-30 18:11:56,2013-01-01,749.0
Entbert,66,43,0.0,0.0,0.0,0.0,0,2012-11-02 23:32:00,2013-01-01,1416.0
Plani,65,15,0.0,0.0,0.0,1.0,0,2012-12-03 10:30:24,2013-01-01,685.0
Wgreenow,65,47,4.0,0.0,0.0,7.0,0,2012-11-11 09:08:49,2013-01-01,1214.0
Hazard-Bot,65,23,0.0,0.0,0.0,113.0,0,0,2013-01-01,0.0
Cattus,62,40,0.0,0.0,0.0,0.0,0,2012-11-28 14:35:03,2013-01-01,801.0
Yiyi,62,30,0.0,0.0,0.0,8.0,0,2012-10-30 12:33:02,2013-01-01,1499.0
Ericmetro,62,23,0.0,0.0,0.0,7.0,0,2012-10-30 15:02:20,2013-01-01,1496.0
Shanmugamp7,62,19,7.0,0.0,0.0,12.0,0,2012-10-30 02:30:27,2013-01-01,1509.0
Steinsplitter,59,52,3.0,0.0,0.0,2.0,0,2012-11-02 22:00:15,2013-01-01,1417.0
81.159.142.19,58,54,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
26 Ramadan,57,23,0.0,0.0,0.0,3.0,0,2012-11-26 00:51:15,2013-01-01,863.0
Hurricanefan24,56,28,8.0,0.0,0.0,2.0,0,2012-11-11 13:39:51,2013-01-01,1210.0
Microchip08,54,47,0.0,0.0,0.0,1.0,0,2012-12-23 20:47:56,2013-01-01,195.0
MerlBot,51,1,0.0,0.0,0.0,267.0,0,0,2013-01-01,0.0
87.13.4.167,51,13,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
Imzadi1979,50,16,0.0,0.0,0.0,1.0,0,2012-12-05 23:55:43,2013-01-01,624.0
Aude,50,21,0.0,0.0,0.0,1.0,0,2012-10-29 17:05:52,2013-01-01,1518.0
Leyo,48,47,16.0,0.0,0.0,24.0,0,2012-11-16 15:02:53,2013-01-01,1088.0
Clarkcj12,47,24,4.0,0.0,0.0,0.0,0,2012-11-20 16:41:29,2013-01-01,991.0
147.91.1.45,47,16,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
79.173.80.63,46,46,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
"This, that and the other",45,33,0.0,0.0,0.0,8.0,0,2012-08-03 07:33:18,2013-01-01,3616.0
86.181.51.47,45,39,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
Arctic.gnome,45,23,0.0,0.0,0.0,0.0,0,2012-11-12 00:18:40,2013-01-01,1199.0
Daniel749,44,20,0.0,0.0,0.0,1.0,0,2012-12-03 15:27:09,2013-01-01,680.0
86.177.30.102,44,42,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
Jwdietrich2,43,6,0.0,0.0,0.0,0.0,0,2012-11-01 15:43:51,2013-01-01,1448.0
Prad2609,43,11,0.0,0.0,0.0,9.0,0,2012-12-01 15:31:58,2013-01-01,728.0
Koavf,43,13,4.0,0.0,0.0,2.0,0,2008-04-15 03:06:44,2013-01-01,41324.0
Frigotoni,42,22,6.0,0.0,0.0,3.0,0,2012-11-08 18:11:49,2013-01-01,1277.0
91.198.174.202,42,42,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
87.5.77.9,42,14,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
OhanaUnited,42,9,0.0,0.0,0.0,1.0,0,2012-12-04 01:11:47,2013-01-01,670.0
Lazowik,42,15,0.0,0.0,0.0,7.0,0,2012-11-02 11:47:36,2013-01-01,1428.0
86.183.130.179,41,39,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
DeltaQuad,41,13,1.0,0.0,0.0,2.0,0,2012-12-09 21:41:44,2013-01-01,530.0
Kajsfags,40,2,0.0,0.0,0.0,0.0,0,2012-12-16 17:45:23,2013-01-01,366.0
Milad A380,40,15,0.0,0.0,0.0,0.0,0,2012-11-16 14:45:30,2013-01-01,1089.0
Cill Droichid,40,14,0.0,0.0,0.0,0.0,0,2012-12-05 23:12:24,2013-01-01,624.0
Sylvhem,40,12,0.0,0.0,0.0,2.0,0,2012-12-23 22:25:31,2013-01-01,193.0
Qafgbxvghnx,40,35,0.0,0.0,0.0,0.0,0,2012-12-19 13:09:55,2013-01-01,298.0
86.186.34.45,39,34,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
ChongDae,39,23,9.0,0.0,0.0,20.0,0,2012-11-13 01:56:12,2013-01-01,1174.0
Vituzzu,39,21,0.0,0.0,0.0,3.0,0,2012-10-30 12:19:25,2013-01-01,1499.0
86.177.24.196,39,33,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
Lomita,39,35,1.0,0.0,0.0,0.0,0,2012-11-02 20:21:45,2013-01-01,1419.0
Никита,36,10,0.0,0.0,0.0,0.0,0,2012-12-26 19:44:08,2013-01-01,124.0
Snaevar,35,30,0.0,0.0,0.0,63.0,0,2012-11-02 14:42:30,2013-01-01,1425.0
Xtextexte,34,3,0.0,0.0,0.0,0.0,0,2012-11-01 05:50:03,2013-01-01,1458.0
86.177.30.110,34,30,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
Michael Barera,33,18,0.0,0.0,0.0,1.0,0,2012-12-08 04:42:35,2013-01-01,571.0
Spischot,33,9,0.0,0.0,0.0,18.0,0,2012-11-08 21:23:19,2013-01-01,1274.0
ThieolBot,32,31,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
190.242.99.178,31,3,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
Friechtle,31,10,0.0,0.0,0.0,0.0,0,2012-12-12 15:53:45,2013-01-01,464.0
Bibliothèque Dec. 18,30,9,0.0,0.0,0.0,0.0,0,2012-12-18 21:10:06,2013-01-01,314.0
Luigi Chiesa,30,15,0.0,0.0,0.0,0.0,0,2012-12-24 21:11:34,2013-01-01,170.0
65.182.245.138,29,7,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
WaldiWuff,29,28,0.0,0.0,0.0,0.0,0,2012-12-13 16:27:12,2013-01-01,439.0
Benoît Prieur,29,12,0.0,0.0,0.0,0.0,0,2012-12-03 14:01:36,2013-01-01,681.0
Se4598,29,19,0.0,0.0,0.0,2.0,0,2012-10-30 12:21:15,2013-01-01,1499.0
DrTrigon,29,6,0.0,0.0,0.0,14.0,0,2012-12-16 10:09:26,2013-01-01,373.0
Emergency doc,29,3,0.0,0.0,0.0,3.0,0,2012-12-04 12:45:34,2013-01-01,659.0
Edinwiki,28,11,0.0,0.0,0.0,8.0,0,2012-12-14 00:59:10,2013-01-01,431.0
91.198.174.216,27,27,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
Jasper Deng,27,14,0.0,0.0,0.0,30.0,0,2012-11-03 19:27:26,2013-01-01,1396.0
195.145.198.234,26,26,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
87.54.11.5,26,21,0.0,0.0,0.0,26.0,0,0,2013-01-01,0.0
86.186.32.191,26,24,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
109.149.16.217,25,23,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
79.201.122.64,25,21,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
86.143.85.118,25,24,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
Tobijat,25,7,0.0,0.0,0.0,0.0,0,2012-11-02 09:04:23,2013-01-01,1430.0
Bigbossfarin,24,7,0.0,0.0,0.0,1.0,0,2012-12-14 23:31:30,2013-01-01,408.0
Lenny222,24,18,0.0,0.0,0.0,0.0,0,2012-12-13 14:15:03,2013-01-01,441.0
86.163.85.27,24,24,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
86.186.32.32,24,21,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
Bocardodarapti,24,8,0.0,0.0,0.0,6.0,0,2012-12-01 19:52:17,2013-01-01,724.0
Trasamundo,24,4,0.0,0.0,0.0,0.0,0,2012-12-30 13:36:58,2013-01-01,34.0
Bookman~wikidatawiki,24,10,0.0,0.0,0.0,0.0,0,2012-11-12 00:10:49,2013-01-01,1199.0
Grzegorznadolski,23,7,0.0,0.0,0.0,0.0,0,2012-11-11 16:39:02,2013-01-01,1207.0
79.201.111.222,23,21,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
132.185.139.27,23,2,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
Scott5114,22,4,0.0,0.0,0.0,1.0,0,2012-12-06 10:07:19,2013-01-01,613.0
77.186.162.213,22,7,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
86.178.14.67,22,21,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
93.219.43.91,21,19,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
Tino,21,4,0.0,0.0,0.0,0.0,0,2012-11-17 20:59:21,2013-01-01,1059.0
Pucesurvitaminee,21,2,0.0,0.0,0.0,0.0,0,2012-12-04 12:38:24,2013-01-01,659.0
178.2.148.210,21,21,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
Mxn,21,16,0.0,0.0,0.0,7.0,0,2006-04-08 19:46:29,2013-01-01,59020.0
109.90.165.16,21,8,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
ShinePhantom,21,17,0.0,0.0,0.0,113.0,0,2012-10-30 10:21:49,2013-01-01,1501.0
Randykitty,21,9,9.0,0.0,0.0,0.0,0,2012-11-25 10:05:03,2013-01-01,877.0
93.219.22.169,21,21,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
88.66.163.243,21,21,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
Pallerti,21,9,0.0,0.0,0.0,2.0,0,2012-12-10 22:27:17,2013-01-01,505.0
PiRSquared17,20,11,4.0,0.0,0.0,10.0,0,2012-10-29 22:16:40,2013-01-01,1513.0
86.183.132.57,20,18,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
87.54.11.4,20,18,0.0,0.0,0.0,19.0,0,0,2013-01-01,0.0
Matthew Beta,20,15,0.0,0.0,0.0,0.0,0,2012-12-21 16:42:46,2013-01-01,247.0
79.201.100.130,20,20,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
Pladask,19,5,0.0,0.0,0.0,3.0,0,2012-12-14 14:30:10,2013-01-01,417.0
