username,noEdits,noItems,noBatchEdits,noOntoEdits,noPropEdits,noCommEdits,noTaxoEdits,minTime,timeframe,userAge
Sk!dbot,727884,642018,0.0,0.0,0.0,135.0,0,0,2013-01-01,0.0
BeneBot*,601015,600753,0.0,0.0,0.0,2260.0,0,0,2013-01-01,0.0
MerlIwBot,581742,580011,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
Thieol,33925,33479,0.0,0.0,0.0,62.0,0,2012-11-26 23:49:18,2013-01-01,840.0
ValterVB,26353,17375,12220.0,0.0,0.0,169.0,0,2012-11-02 13:56:00,2013-01-01,1426.0
Art-top,22343,14459,764.0,0.0,0.0,228.0,0,2012-11-02 05:11:17,2013-01-01,1434.0
B25es,6866,4822,0.0,0.0,0.0,107.0,0,2012-10-30 19:40:13,2013-01-01,1492.0
Karol007,6427,2622,2605.0,0.0,0.0,16.0,0,2012-11-17 11:37:20,2013-01-01,1068.0
Rschen7754,4452,2015,1.0,0.0,0.0,141.0,0,2012-11-10 08:02:42,2013-01-01,1239.0
Tbennert,4354,3761,0.0,0.0,0.0,12.0,0,2012-11-29 02:49:01,2013-01-01,789.0
Stevenliuyi,3971,863,1134.0,0.0,0.0,128.0,0,2012-11-07 12:45:45,2013-01-01,1307.0
Ermanon,3627,2154,10.0,0.0,0.0,5.0,0,2012-10-31 01:30:33,2013-01-01,1486.0
Paperoastro,3396,1197,583.0,0.0,0.0,54.0,0,2012-10-30 14:27:26,2013-01-01,1497.0
Wagino 20100516,3347,1084,213.0,0.0,0.0,66.0,0,2012-10-31 12:48:12,2013-01-01,1475.0
Beta16,3089,2000,326.0,0.0,0.0,86.0,0,2012-10-31 23:33:11,2013-01-01,1464.0
Lam-ang,3056,899,872.0,0.0,0.0,7.0,0,2012-11-04 19:43:41,2013-01-01,1372.0
Rsrikanth05,2699,543,257.0,0.0,0.0,146.0,0,2012-11-29 11:15:56,2013-01-01,780.0
LadyInGrey,2492,1592,72.0,0.0,0.0,69.0,0,2012-11-13 14:54:11,2013-01-01,1161.0
Sixsi6ma,2402,1763,11.0,0.0,0.0,57.0,0,2012-11-30 16:05:10,2013-01-01,751.0
Stryn,2397,1721,102.0,0.0,0.0,195.0,0,2012-10-29 19:02:24,2013-01-01,1516.0
Kolja21,2248,1143,79.0,0.0,0.0,220.0,0,2012-11-11 15:28:48,2013-01-01,1208.0
Restu20,1798,1041,288.0,0.0,0.0,133.0,0,2012-10-30 11:31:09,2013-01-01,1500.0
Sotiale,1779,1354,1.0,0.0,0.0,34.0,0,2012-11-06 09:00:39,2013-01-01,1334.0
Njh,1733,721,8.0,0.0,0.0,0.0,0,2012-11-12 18:53:50,2013-01-01,1181.0
Inkowik,1705,1435,58.0,0.0,0.0,78.0,0,2012-11-01 16:42:12,2013-01-01,1447.0
Carol.Christiansen,1694,856,0.0,0.0,0.0,1.0,0,2012-12-28 14:09:43,2013-01-01,81.0
Wiki13,1641,1053,1018.0,0.0,0.0,257.0,0,2012-10-30 15:26:23,2013-01-01,1496.0
Florn88,1479,1271,2.0,0.0,0.0,2.0,0,2012-10-30 13:55:40,2013-01-01,1498.0
Eumolpo,1454,526,0.0,0.0,0.0,40.0,0,2012-10-31 04:44:01,2013-01-01,1483.0
Techman224,1233,658,174.0,0.0,0.0,9.0,0,2012-12-21 03:25:44,2013-01-01,260.0
TCN7JM,1216,409,0.0,0.0,0.0,10.0,0,2012-12-10 12:05:17,2013-01-01,515.0
Haplology,1177,754,0.0,0.0,0.0,0.0,0,2012-11-12 11:51:40,2013-01-01,1188.0
ValterVBot,1172,1066,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
Arpyia,1130,534,315.0,0.0,0.0,8.0,0,2012-12-07 14:23:02,2013-01-01,585.0
Grondin,1067,297,331.0,0.0,0.0,56.0,0,2012-11-01 15:53:40,2013-01-01,1448.0
CennoxX,1054,883,11.0,0.0,0.0,136.0,0,2012-10-30 18:35:48,2013-01-01,1493.0
Dough4872,986,908,0.0,0.0,0.0,6.0,0,2012-12-12 03:24:30,2013-01-01,476.0
분당선M,936,420,1.0,0.0,0.0,42.0,0,2012-11-07 21:54:34,2013-01-01,1298.0
Bello,873,599,0.0,0.0,0.0,1.0,0,2012-12-09 10:05:24,2013-01-01,541.0
Ajraddatz,850,477,23.0,0.0,0.0,79.0,0,2012-11-01 16:23:50,2013-01-01,1447.0
Peter in s,844,489,0.0,0.0,0.0,13.0,0,2012-11-14 22:24:52,2013-01-01,1129.0
Wylve,786,410,260.0,0.0,0.0,12.0,0,2012-11-06 17:08:15,2013-01-01,1326.0
Happy5214,756,479,8.0,0.0,0.0,563.0,0,2012-10-30 10:15:09,2013-01-01,1501.0
Yair rand,749,588,1.0,0.0,0.0,49.0,0,2010-01-01 18:59:07,2013-01-01,26285.0
Jeremytarling,722,271,0.0,0.0,0.0,0.0,0,2012-12-01 18:02:48,2013-01-01,725.0
Rzuwig,699,273,79.0,0.0,0.0,34.0,0,2012-11-14 23:17:21,2013-01-01,1128.0
Reptilien.19831209BE1,691,323,112.0,0.0,0.0,4.0,0,2012-12-09 16:06:06,2013-01-01,535.0
Syp,681,224,224.0,0.0,0.0,4.0,0,2011-05-19 18:00:08,2013-01-01,14213.0
Detcin,643,278,0.0,0.0,0.0,16.0,0,2012-12-11 13:37:26,2013-01-01,490.0
Rondador,633,201,49.0,0.0,0.0,3.0,0,2012-10-30 20:45:57,2013-01-01,1491.0
Sven Manguard,618,415,0.0,0.0,0.0,64.0,0,2012-11-01 01:44:25,2013-01-01,1462.0
Jane023,611,271,0.0,0.0,0.0,1.0,0,2012-12-06 16:22:41,2013-01-01,607.0
Moe Epsilon,601,200,0.0,0.0,0.0,34.0,0,2012-11-11 15:27:41,2013-01-01,1208.0
Choboty,600,600,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
Sk!d,584,388,99.0,0.0,0.0,207.0,0,2012-11-02 10:14:30,2013-01-01,1429.0
Alexander Sommer,562,443,0.0,0.0,0.0,3.0,0,2012-10-31 00:39:09,2013-01-01,1487.0
Sannita,557,275,20.0,0.0,0.0,31.0,0,2012-10-30 13:16:14,2013-01-01,1498.0
Gareth,544,481,0.0,0.0,0.0,0.0,0,2012-11-01 04:00:23,2013-01-01,1459.0
Make,531,212,53.0,0.0,0.0,34.0,0,2012-12-18 12:19:45,2013-01-01,323.0
Soulkeeper,530,278,1.0,0.0,0.0,8.0,0,2012-10-30 15:36:11,2013-01-01,1496.0
DrCruse,495,237,0.0,0.0,0.0,0.0,0,2012-12-07 22:17:54,2013-01-01,577.0
Raylton P. Sousa,494,246,0.0,0.0,0.0,0.0,0,2012-10-31 03:05:15,2013-01-01,1484.0
Frankou,486,155,63.0,0.0,0.0,43.0,0,2012-12-01 07:00:11,2013-01-01,736.0
Antissimo,482,169,3.0,0.0,0.0,56.0,0,2012-12-18 09:14:21,2013-01-01,326.0
~riley,480,406,265.0,0.0,0.0,25.0,0,2012-11-12 02:27:56,2013-01-01,1197.0
Tazerdadog,468,400,0.0,0.0,0.0,33.0,0,2012-12-08 01:49:43,2013-01-01,574.0
**Romina**,457,328,13.0,0.0,0.0,10.0,0,2012-11-12 22:10:34,2013-01-01,1177.0
Syrio,429,131,0.0,0.0,0.0,4.0,0,2012-10-30 13:02:22,2013-01-01,1498.0
ArnoLagrange,415,149,25.0,0.0,0.0,17.0,0,2012-11-03 08:37:31,2013-01-01,1407.0
Feuerst,395,332,0.0,0.0,0.0,2.0,0,2012-12-30 22:50:49,2013-01-01,25.0
Eric-92,378,239,29.0,0.0,0.0,25.0,0,2012-10-30 14:44:57,2013-01-01,1497.0
Hsarrazin,355,176,8.0,0.0,0.0,7.0,0,2012-10-31 18:14:11,2013-01-01,1469.0
Daniel Mietchen,355,174,1.0,0.0,0.0,8.0,0,2012-12-01 01:40:22,2013-01-01,742.0
Милан Јелисавчић,350,147,0.0,0.0,0.0,0.0,0,2012-11-20 00:12:58,2013-01-01,1007.0
Iste Praetor,329,163,151.0,0.0,0.0,12.0,0,2012-12-28 16:37:04,2013-01-01,79.0
NaBUru38,327,226,0.0,0.0,0.0,0.0,0,2012-11-28 18:24:02,2013-01-01,797.0
Nizil Shah,313,118,21.0,0.0,0.0,6.0,0,2012-11-02 20:47:00,2013-01-01,1419.0
This is also Sven Manguard,310,179,0.0,0.0,0.0,21.0,0,2012-11-01 19:11:04,2013-01-01,1444.0
Rayx,302,197,24.0,0.0,0.0,7.0,0,2012-12-04 12:42:52,2013-01-01,659.0
