username,noEdits,noItems,noBatchEdits,noOntoEdits,noPropEdits,noCommEdits,noTaxoEdits,minTime,timeframe,userAge
Sk!dbot,1057795,1025619,0.0,0.0,0.0,534.0,0,0,2013-02-01,0.0
BeneBot*,441855,441836,0.0,0.0,0.0,37.0,0,0,2013-02-01,0.0
MerlIwBot,384880,363533,0.0,0.0,0.0,0.0,0,0,2013-02-01,0.0
ValterVBot,325635,324538,0.0,0.0,0.0,0.0,0,0,2013-02-01,0.0
ThieolBot,107071,107007,0.0,0.0,0.0,0.0,0,0,2013-02-01,0.0
Art-top,75659,47151,153.0,0.0,0.0,38.0,0,2012-11-02 05:11:17,2013-02-01,2178.0
B25es,8689,6672,0.0,0.0,0.0,11.0,0,2012-10-30 19:40:13,2013-02-01,2236.0
Tbennert,8592,7861,28.0,0.0,0.0,14.0,0,2012-11-29 02:49:01,2013-02-01,1533.0
ValterVB,8510,6028,395.0,0.0,0.0,205.0,0,2012-11-02 13:56:00,2013-02-01,2170.0
Innocent bot,8038,2267,0.0,0.0,0.0,0.0,0,0,2013-02-01,0.0
LadyInGrey,3895,2667,0.0,0.0,0.0,28.0,0,2012-11-13 14:54:11,2013-02-01,1905.0
Stryn,2975,2076,545.0,0.0,0.0,360.0,0,2012-10-29 19:02:24,2013-02-01,2260.0
Reptilien.19831209BE1,2972,2669,12.0,0.0,0.0,25.0,0,2012-12-09 16:06:06,2013-02-01,1279.0
Wagino 20100516,2798,765,1231.0,0.0,0.0,33.0,0,2012-10-31 12:48:12,2013-02-01,2219.0
Kolja21,2748,1528,146.0,0.0,0.0,284.0,0,2012-11-11 15:28:48,2013-02-01,1952.0
Paperoastro,2380,1048,213.0,0.0,0.0,34.0,0,2012-10-30 14:27:26,2013-02-01,2241.0
Moe Epsilon,2324,783,0.0,0.0,0.0,30.0,0,2012-11-11 15:27:41,2013-02-01,1952.0
Rsrikanth05,2323,1132,335.0,0.0,0.0,88.0,0,2012-11-29 11:15:56,2013-02-01,1524.0
Karol007,2274,1142,1135.0,0.0,0.0,1.0,0,2012-11-17 11:37:20,2013-02-01,1812.0
Zolo,2184,1348,84.0,0.0,0.0,77.0,0,2011-11-26 16:07:06,2013-02-01,10375.0
Wylve,2156,1167,352.0,0.0,0.0,29.0,0,2012-11-06 17:08:15,2013-02-01,2070.0
Filceolaire,2025,984,0.0,0.0,0.0,82.0,0,2013-01-04 21:16:09,2013-02-01,650.0
Feuerst,2013,1111,0.0,0.0,0.0,19.0,0,2012-12-30 22:50:49,2013-02-01,769.0
Soulkeeper,1897,1537,0.0,0.0,0.0,4.0,0,2012-10-30 15:36:11,2013-02-01,2240.0
Romaine,1887,1875,0.0,0.0,0.0,28.0,0,2011-10-27 17:56:44,2013-02-01,11094.0
Rschen7754,1704,941,0.0,0.0,0.0,179.0,0,2012-11-10 08:02:42,2013-02-01,1983.0
Florn88,1685,1210,0.0,0.0,0.0,6.0,0,2012-10-30 13:55:40,2013-02-01,2242.0
Sixsi6ma,1669,1174,117.0,0.0,0.0,272.0,0,2012-11-30 16:05:10,2013-02-01,1495.0
Steenth,1584,792,0.0,0.0,0.0,5.0,0,2012-11-03 11:52:14,2013-02-01,2148.0
Beta16,1454,1089,303.0,0.0,0.0,127.0,0,2012-10-31 23:33:11,2013-02-01,2208.0
Inkowik,1434,1281,35.0,0.0,0.0,39.0,0,2012-11-01 16:42:12,2013-02-01,2191.0
Sanyi4,1406,327,235.0,0.0,0.0,28.0,0,2012-12-23 20:36:59,2013-02-01,939.0
Csigabi,1273,565,0.0,0.0,0.0,59.0,0,2013-01-18 21:16:11,2013-02-01,314.0
Ermanon,1189,648,20.0,0.0,0.0,16.0,0,2012-10-31 01:30:33,2013-02-01,2230.0
Techman224,1167,456,5.0,0.0,0.0,65.0,0,2012-12-21 03:25:44,2013-02-01,1004.0
TCN7JM,1153,659,0.0,0.0,0.0,3.0,0,2012-12-10 12:05:17,2013-02-01,1259.0
Hsarrazin,1113,602,1.0,0.0,0.0,3.0,0,2012-10-31 18:14:11,2013-02-01,2213.0
Escudero,1094,731,0.0,0.0,0.0,1.0,0,2013-01-16 16:24:11,2013-02-01,367.0
Veronidae,1068,426,0.0,0.0,0.0,232.0,0,2013-01-17 13:12:27,2013-02-01,346.0
NordNordWest,1067,440,0.0,0.0,0.0,11.0,0,2012-10-30 22:20:40,2013-02-01,2233.0
Sk!d,1065,580,204.0,0.0,0.0,334.0,0,2012-11-02 10:14:30,2013-02-01,2173.0
Matthew Beta,1053,437,42.0,0.0,0.0,117.0,0,2012-12-21 16:42:46,2013-02-01,991.0
Pallerti,961,426,0.0,0.0,0.0,40.0,0,2012-12-10 22:27:17,2013-02-01,1249.0
Lam-ang,936,533,224.0,0.0,0.0,0.0,0,2012-11-04 19:43:41,2013-02-01,2116.0
Carol.Christiansen,902,465,0.0,0.0,0.0,8.0,0,2012-12-28 14:09:43,2013-02-01,825.0
Iste Praetor,894,733,616.0,0.0,0.0,57.0,0,2012-12-28 16:37:04,2013-02-01,823.0
Arpyia,841,473,0.0,0.0,0.0,2.0,0,2012-12-07 14:23:02,2013-02-01,1329.0
Ajraddatz,806,552,40.0,0.0,0.0,234.0,0,2012-11-01 16:23:50,2013-02-01,2191.0
PinkAmpersand,716,290,70.0,0.0,0.0,111.0,0,2012-12-30 04:39:39,2013-02-01,787.0
Olaf Studt,678,340,0.0,0.0,0.0,6.0,0,2013-01-11 10:32:41,2013-02-01,493.0
**Romina**,660,548,0.0,0.0,0.0,0.0,0,2012-11-12 22:10:34,2013-02-01,1921.0
Eric-92,648,356,28.0,0.0,0.0,21.0,0,2012-10-30 14:44:57,2013-02-01,2241.0
Stevenliuyi,634,308,73.0,0.0,0.0,45.0,0,2012-11-07 12:45:45,2013-02-01,2051.0
Antissimo,622,288,0.0,0.0,0.0,27.0,0,2012-12-18 09:14:21,2013-02-01,1070.0
Yair rand,603,526,0.0,0.0,0.0,69.0,0,2010-01-01 18:59:07,2013-02-01,27029.0
Милан Јелисавчић,596,374,1.0,0.0,0.0,100.0,0,2012-11-20 00:12:58,2013-02-01,1751.0
Sannita,596,282,10.0,0.0,0.0,123.0,0,2012-10-30 13:16:14,2013-02-01,2242.0
Matthiasb,579,560,0.0,0.0,0.0,17.0,0,2012-10-31 17:39:26,2013-02-01,2214.0
Njh,573,364,1.0,0.0,0.0,0.0,0,2012-11-12 18:53:50,2013-02-01,1925.0
Wiki13,570,258,154.0,0.0,0.0,232.0,0,2012-10-30 15:26:23,2013-02-01,2240.0
Gz260,568,231,0.0,0.0,0.0,1.0,0,2013-01-05 19:06:57,2013-02-01,628.0
Grondin,520,179,56.0,0.0,0.0,12.0,0,2012-11-01 15:53:40,2013-02-01,2192.0
Lavallen,519,200,0.0,0.0,0.0,125.0,0,2013-01-04 14:53:56,2013-02-01,657.0
Joeyline,518,293,0.0,0.0,0.0,34.0,0,2013-01-16 17:29:09,2013-02-01,366.0
Giftzwerg 88,479,327,1.0,0.0,0.0,298.0,0,2012-12-30 21:36:55,2013-02-01,770.0
Rudolph Buch,475,259,0.0,0.0,0.0,0.0,0,2013-01-17 13:56:51,2013-02-01,346.0
79.173.80.63,441,287,0.0,0.0,0.0,0.0,0,0,2013-02-01,0.0
Sven Manguard,434,304,0.0,0.0,0.0,60.0,0,2012-11-01 01:44:25,2013-02-01,2206.0
Rzuwig,422,205,25.0,0.0,0.0,28.0,0,2012-11-14 23:17:21,2013-02-01,1872.0
Michawiki,415,209,0.0,0.0,0.0,651.0,0,2012-12-07 19:57:47,2013-02-01,1324.0
Make,415,138,91.0,0.0,0.0,28.0,0,2012-12-18 12:19:45,2013-02-01,1067.0
Enoirdi,344,198,0.0,0.0,0.0,84.0,0,2013-01-06 14:30:17,2013-02-01,609.0
Hazard-SJ,336,225,4.0,0.0,0.0,128.0,0,2012-10-31 01:38:51,2013-02-01,2230.0
Bene*,323,118,15.0,0.0,0.0,233.0,0,2012-10-30 16:31:06,2013-02-01,2239.0
Imzadi1979,311,231,0.0,0.0,0.0,2.0,0,2012-12-05 23:55:43,2013-02-01,1368.0
Josve05a,309,166,6.0,0.0,0.0,4.0,0,2013-01-06 07:15:29,2013-02-01,616.0
Jon Harald Søby,303,223,0.0,0.0,0.0,819.0,0,2006-10-06 10:44:52,2013-02-01,55429.0
SPQRobin,294,163,54.0,0.0,0.0,14.0,0,2012-10-31 00:08:38,2013-02-01,2231.0
FuzzyBot,288,158,0.0,0.0,0.0,549.0,0,0,2013-02-01,0.0
