username,noEdits,noItems,noBatchEdits,noOntoEdits,noPropEdits,noCommEdits,noTaxoEdits,minTime,timeframe,userAge
Leyo,286,224,16.0,0.0,0.0,20.0,0,2012-11-16 15:02:53,2013-02-01,1832.0
Kilom691,283,223,0.0,0.0,0.0,1.0,0,2013-01-25 21:53:51,2013-02-01,146.0
Erfil,279,133,71.0,0.0,0.0,0.0,0,2012-11-17 15:27:43,2013-02-01,1808.0
L. Hulbert,272,104,0.0,0.0,0.0,0.0,0,2013-01-15 22:39:32,2013-02-01,385.0
NaBUru38,249,124,47.0,0.0,0.0,1.0,0,2012-11-28 18:24:02,2013-02-01,1541.0
Alexander Sommer,244,145,1.0,0.0,0.0,1.0,0,2012-10-31 00:39:09,2013-02-01,2231.0
Denny,243,142,0.0,0.0,0.0,5.0,0,2012-10-29 17:03:21,2013-02-01,2262.0
Lord of Wrath,242,84,0.0,0.0,0.0,0.0,0,2013-01-27 23:05:14,2013-02-01,96.0
Magnus Manske,241,111,0.0,0.0,0.0,3.0,0,2012-10-30 13:12:31,2013-02-01,2242.0
Gareth,241,210,0.0,0.0,0.0,1.0,0,2012-11-01 04:00:23,2013-02-01,2203.0
Naddy,238,143,0.0,0.0,0.0,7.0,0,2013-01-15 18:08:26,2013-02-01,389.0
Legobot,238,180,0.0,0.0,0.0,0.0,0,0,2013-02-01,0.0
Nikosguard,233,108,0.0,0.0,0.0,161.0,0,2013-01-11 11:07:48,2013-02-01,492.0
Happy5214,231,195,0.0,0.0,0.0,133.0,0,2012-10-30 10:15:09,2013-02-01,2245.0
Xosema,227,83,0.0,0.0,0.0,0.0,0,2012-11-06 15:23:27,2013-02-01,2072.0
Thieol,223,152,1.0,0.0,0.0,40.0,0,2012-11-26 23:49:18,2013-02-01,1584.0
Vhorvat,221,103,0.0,0.0,0.0,0.0,0,2013-01-05 18:43:58,2013-02-01,629.0
Toliño,219,107,0.0,0.0,0.0,16.0,0,2010-10-22 19:04:37,2013-02-01,19972.0
上海市九,219,90,100.0,0.0,0.0,0.0,0,2013-01-22 19:23:19,2013-02-01,220.0
Fúlvio,215,103,0.0,0.0,0.0,9.0,0,2012-06-28 00:21:40,2013-02-01,5231.0
Skull33,199,123,0.0,0.0,0.0,6.0,0,2012-10-30 14:38:55,2013-02-01,2241.0
W. Calhoun,186,79,0.0,0.0,0.0,2.0,0,2013-01-15 22:32:10,2013-02-01,385.0
Dough4872,184,171,0.0,0.0,0.0,0.0,0,2012-12-12 03:24:30,2013-02-01,1220.0
Airon90,181,84,0.0,0.0,0.0,2.0,0,2012-10-30 16:39:13,2013-02-01,2239.0
Superzerocool,177,148,0.0,0.0,0.0,1.0,0,2012-10-30 12:28:43,2013-02-01,2243.0
Guettarda,174,63,0.0,0.0,0.0,4.0,0,2013-01-23 14:13:45,2013-02-01,201.0
ShinePhantom,174,74,0.0,0.0,0.0,8.0,0,2012-10-30 10:21:49,2013-02-01,2245.0
ZX95,166,117,0.0,0.0,0.0,0.0,0,2013-01-15 22:14:22,2013-02-01,385.0
Ayack,161,96,2.0,0.0,0.0,3.0,0,2012-10-30 11:24:52,2013-02-01,2244.0
Benoit Rochon,161,106,0.0,0.0,0.0,73.0,0,2009-12-30 12:53:57,2013-02-01,27083.0
AbriNation,159,71,0.0,0.0,0.0,0.0,0,2012-11-08 10:33:58,2013-02-01,2029.0
WaldiWuff,158,143,0.0,0.0,0.0,0.0,0,2012-12-13 16:27:12,2013-02-01,1183.0
Pauk,150,63,0.0,0.0,0.0,0.0,0,2013-01-16 05:32:54,2013-02-01,378.0
Bello,150,96,0.0,0.0,0.0,1.0,0,2012-12-09 10:05:24,2013-02-01,1285.0
Yerpo,150,51,0.0,0.0,0.0,1.0,0,2012-10-30 14:15:29,2013-02-01,2241.0
Rippitippi,148,63,6.0,0.0,0.0,4.0,0,2012-11-11 00:38:49,2013-02-01,1967.0
Jitrixis,143,35,33.0,0.0,0.0,39.0,0,2012-10-30 19:29:28,2013-02-01,2236.0
Nizil Shah,142,54,2.0,0.0,0.0,19.0,0,2012-11-02 20:47:00,2013-02-01,2163.0
Ra-bot-nik,140,119,0.0,0.0,0.0,0.0,0,0,2013-02-01,0.0
Sylvhem,138,22,61.0,0.0,0.0,1.0,0,2012-12-23 22:25:31,2013-02-01,937.0
Jaqen,136,80,0.0,0.0,0.0,1.0,0,2013-01-28 11:26:21,2013-02-01,84.0
Vivaelcelta,135,89,0.0,0.0,0.0,64.0,0,2013-01-16 21:08:28,2013-02-01,362.0
Shirayuki,127,83,0.0,0.0,0.0,124.0,0,2012-11-22 11:43:21,2013-02-01,1692.0
UV,124,51,0.0,0.0,0.0,1.0,0,2012-12-31 14:36:02,2013-02-01,753.0
Conny,120,81,2.0,0.0,0.0,49.0,0,2012-11-01 22:16:33,2013-02-01,2185.0
79.217.171.161,118,112,0.0,0.0,0.0,0.0,0,0,2013-02-01,0.0
Daniel Mietchen,117,82,0.0,0.0,0.0,25.0,0,2012-12-01 01:40:22,2013-02-01,1486.0
MSchnitzler2000,117,69,0.0,0.0,0.0,2.0,0,2012-10-31 12:30:53,2013-02-01,2219.0
Syp,113,46,0.0,0.0,0.0,0.0,0,2011-05-19 18:00:08,2013-02-01,14957.0
Wholle,112,85,24.0,0.0,0.0,10.0,0,2013-01-22 11:41:03,2013-02-01,228.0
Jasper Deng,111,61,0.0,0.0,0.0,111.0,0,2012-11-03 19:27:26,2013-02-01,2140.0
~riley,111,100,72.0,0.0,0.0,6.0,0,2012-11-12 02:27:56,2013-02-01,1941.0
Lukas²³,110,103,0.0,0.0,0.0,47.0,0,2012-11-10 21:05:08,2013-02-01,1970.0
חיים 7,106,36,0.0,0.0,0.0,0.0,0,2013-01-30 22:54:50,2013-02-01,25.0
Lazowik,102,34,0.0,0.0,0.0,8.0,0,2012-11-02 11:47:36,2013-02-01,2172.0
J36miles,102,47,0.0,0.0,0.0,2.0,0,2012-11-12 00:27:22,2013-02-01,1943.0
Baroc,101,59,0.0,0.0,0.0,2.0,0,2013-01-16 16:47:19,2013-02-01,367.0
DutchTreat,99,37,0.0,0.0,0.0,0.0,0,2012-12-06 02:17:03,2013-02-01,1365.0
Hazard-Bot,98,30,0.0,0.0,0.0,217.0,0,0,2013-02-01,0.0
Ebe123,97,57,0.0,0.0,0.0,6.0,0,2011-07-14 20:44:45,2013-02-01,13611.0
CennoxX,94,84,0.0,0.0,0.0,5.0,0,2012-10-30 18:35:48,2013-02-01,2237.0
79.217.172.26,93,87,0.0,0.0,0.0,0.0,0,0,2013-02-01,0.0
Sinuhe20,93,61,0.0,0.0,0.0,0.0,0,2012-11-03 19:05:26,2013-02-01,2140.0
Buggia,92,74,0.0,0.0,0.0,4.0,0,2012-10-31 15:52:40,2013-02-01,2216.0
Arkanosis,92,84,0.0,0.0,0.0,56.0,0,2012-10-31 15:30:13,2013-02-01,2216.0
DeltaQuad,90,51,7.0,0.0,0.0,0.0,0,2012-12-09 21:41:44,2013-02-01,1274.0
F6F,88,73,0.0,0.0,0.0,0.0,0,2013-01-20 14:20:24,2013-02-01,273.0
Jarekt,87,44,0.0,0.0,0.0,2.0,0,2010-12-04 16:15:20,2013-02-01,18943.0
Incola,85,29,0.0,0.0,0.0,1.0,0,2013-01-17 20:00:15,2013-02-01,339.0
Merlissimo,85,33,6.0,0.0,0.0,68.0,0,2012-10-30 15:54:44,2013-02-01,2240.0
Christophe95,85,42,0.0,0.0,0.0,0.0,0,2012-11-16 19:38:17,2013-02-01,1828.0
Viscontino,84,39,0.0,0.0,0.0,3.0,0,2012-12-08 17:34:19,2013-02-01,1302.0
Morriswa,82,67,0.0,0.0,0.0,2.0,0,2013-01-26 18:59:22,2013-02-01,125.0
79.217.174.113,82,82,0.0,0.0,0.0,0.0,0,0,2013-02-01,0.0
Eumolpo,81,28,0.0,0.0,0.0,1.0,0,2012-10-31 04:44:01,2013-02-01,2227.0
130.88.141.34,80,52,0.0,0.0,0.0,1.0,0,0,2013-02-01,0.0
Civvì,80,38,0.0,0.0,0.0,0.0,0,2013-01-14 17:41:48,2013-02-01,414.0
Metaknowledge,79,58,0.0,0.0,0.0,0.0,0,2013-01-27 23:12:35,2013-02-01,96.0
Ymblanter,79,44,0.0,0.0,0.0,67.0,0,2012-10-30 11:37:25,2013-02-01,2244.0
CristianCantoro,78,31,0.0,0.0,0.0,7.0,0,2013-01-27 22:53:19,2013-02-01,97.0
Green Mostaza,75,26,8.0,0.0,0.0,5.0,0,2012-11-03 05:36:10,2013-02-01,2154.0
Ĵurnalisto,74,43,5.0,0.0,0.0,0.0,0,2012-12-25 03:30:39,2013-02-01,908.0
Friechtle,74,40,0.0,0.0,0.0,2.0,0,2012-12-12 15:53:45,2013-02-01,1208.0
213.54.154.96,74,58,0.0,0.0,0.0,1.0,0,0,2013-02-01,0.0
Farkasgergely,73,38,0.0,0.0,0.0,0.0,0,2013-01-18 20:09:54,2013-02-01,315.0
75.185.16.205,72,32,0.0,0.0,0.0,0.0,0,0,2013-02-01,0.0
Csurla,71,64,0.0,0.0,0.0,0.0,0,2013-01-21 20:41:22,2013-02-01,243.0
Avenue,70,20,0.0,0.0,0.0,0.0,0,2012-10-30 14:02:41,2013-02-01,2241.0
JoonaZZ,70,55,0.0,0.0,0.0,2.0,0,2012-12-25 18:45:55,2013-02-01,893.0
213.54.127.166,69,57,0.0,0.0,0.0,0.0,0,0,2013-02-01,0.0
Stubber,69,33,0.0,0.0,0.0,0.0,0,2013-01-17 23:06:12,2013-02-01,336.0
84.161.168.214,68,55,0.0,0.0,0.0,0.0,0,0,2013-02-01,0.0
Mange01,67,13,0.0,0.0,0.0,80.0,0,2013-01-18 20:09:23,2013-02-01,315.0
Geraki,66,32,16.0,0.0,0.0,11.0,0,2012-11-14 08:30:09,2013-02-01,1887.0
Raymond,66,42,8.0,0.0,0.0,2.0,0,2012-10-30 09:42:14,2013-02-01,2246.0
79.217.177.50,65,65,0.0,0.0,0.0,0.0,0,0,2013-02-01,0.0
HueSatLum,65,37,0.0,0.0,0.0,1.0,0,2012-12-31 17:49:57,2013-02-01,750.0
Appo92,63,36,0.0,0.0,0.0,7.0,0,2012-11-01 12:52:57,2013-02-01,2195.0
Syrio,62,25,0.0,0.0,0.0,0.0,0,2012-10-30 13:02:22,2013-02-01,2242.0
Ákos97,62,44,0.0,0.0,0.0,3.0,0,2013-01-18 19:33:56,2013-02-01,316.0
Mateusz.ns,62,30,0.0,0.0,0.0,1.0,0,2013-01-26 15:28:48,2013-02-01,128.0
Cwek,60,32,2.0,0.0,0.0,4.0,0,2012-11-11 05:48:57,2013-02-01,1962.0
Centralien,60,43,0.0,0.0,0.0,0.0,0,2012-12-15 16:55:31,2013-02-01,1135.0
Mathmitch7,59,34,0.0,0.0,0.0,2.0,0,2013-01-17 19:57:13,2013-02-01,340.0
Einstein95,58,45,0.0,0.0,0.0,2.0,0,2013-01-15 06:03:31,2013-02-01,401.0
79.217.175.218,58,56,0.0,0.0,0.0,0.0,0,0,2013-02-01,0.0
Dega180,57,41,0.0,0.0,0.0,2.0,0,2012-12-26 01:49:09,2013-02-01,886.0
Addshore,56,49,1.0,0.0,0.0,8.0,0,2013-01-19 07:16:16,2013-02-01,304.0
Omshivaprakash,54,30,0.0,0.0,0.0,0.0,0,2013-01-14 20:50:39,2013-02-01,411.0
Bzh-99,54,27,0.0,0.0,0.0,4.0,0,2012-10-30 12:48:13,2013-02-01,2243.0
Kaganer,53,47,0.0,0.0,0.0,79.0,0,2006-11-20 19:35:07,2013-02-01,54340.0
Malatinszky,53,34,0.0,0.0,0.0,2.0,0,2013-01-15 12:00:28,2013-02-01,395.0
Blackpen,53,37,0.0,0.0,0.0,0.0,0,2012-12-22 10:20:23,2013-02-01,973.0
PiRSquared17,52,29,0.0,0.0,0.0,26.0,0,2012-10-29 22:16:40,2013-02-01,2257.0
Brandon.macuser,52,29,0.0,0.0,0.0,0.0,0,2012-11-29 05:00:44,2013-02-01,1530.0
Robotje,51,16,0.0,0.0,0.0,2.0,0,2013-01-14 10:41:11,2013-02-01,421.0
Delusion23,51,42,0.0,0.0,0.0,3.0,0,2012-11-09 18:47:22,2013-02-01,1997.0
JAn Dudík,50,35,0.0,0.0,0.0,48.0,0,2012-10-30 13:13:26,2013-02-01,2242.0
Spischot,49,10,2.0,0.0,0.0,34.0,0,2012-11-08 21:23:19,2013-02-01,2018.0
Crazy1880,49,42,0.0,0.0,0.0,0.0,0,2012-12-08 11:39:41,2013-02-01,1308.0
Snaevar,48,33,0.0,0.0,0.0,106.0,0,2012-11-02 14:42:30,2013-02-01,2169.0
Lord Melchior,47,25,0.0,0.0,0.0,0.0,0,2013-01-15 18:36:12,2013-02-01,389.0
MerlBot,47,1,0.0,0.0,0.0,373.0,0,0,2013-02-01,0.0
Hkoala,46,36,0.0,0.0,0.0,4.0,0,2013-01-18 12:17:20,2013-02-01,323.0
Amire80,46,30,0.0,0.0,0.0,48.0,0,2012-08-11 17:55:18,2013-02-01,4158.0
Aude,45,9,0.0,0.0,0.0,1.0,0,2012-10-29 17:05:52,2013-02-01,2262.0
Ak ccm,43,1,0.0,0.0,0.0,0.0,0,2013-01-12 14:31:37,2013-02-01,465.0
Bjankuloski06,43,24,0.0,0.0,0.0,111.0,0,2012-11-18 02:41:36,2013-02-01,1797.0
Stq-recent changes,43,21,5.0,0.0,0.0,0.0,0,2012-11-14 21:35:27,2013-02-01,1874.0
Seewolf,43,19,24.0,0.0,0.0,28.0,0,2012-10-30 18:02:49,2013-02-01,2237.0
Igna,42,26,0.0,0.0,0.0,11.0,0,2012-10-31 01:35:44,2013-02-01,2230.0
AlessioMela,42,18,0.0,0.0,0.0,8.0,0,2012-11-06 21:14:13,2013-02-01,2066.0
ArnoLagrange,41,14,1.0,0.0,0.0,0.0,0,2012-11-03 08:37:31,2013-02-01,2151.0
Vibhijain,41,28,0.0,0.0,0.0,0.0,0,2012-11-17 15:28:31,2013-02-01,1808.0
L736E,40,23,0.0,0.0,0.0,0.0,0,2012-10-31 13:41:48,2013-02-01,2218.0
Orci,40,39,0.0,0.0,0.0,0.0,0,2012-10-30 16:12:25,2013-02-01,2239.0
Sotiale,38,38,0.0,0.0,0.0,1.0,0,2012-11-06 09:00:39,2013-02-01,2078.0
AttoRenato,36,20,0.0,0.0,0.0,0.0,0,2013-01-16 08:57:37,2013-02-01,375.0
Qafgbxvghnx,36,35,0.0,0.0,0.0,0.0,0,2012-12-19 13:09:55,2013-02-01,1042.0
64.134.31.128,35,13,0.0,0.0,0.0,0.0,0,0,2013-02-01,0.0
Gene.arboit,35,24,0.0,0.0,0.0,0.0,0,2013-01-03 00:06:03,2013-02-01,695.0
Tomcsy,35,25,0.0,0.0,0.0,0.0,0,2013-01-21 00:32:11,2013-02-01,263.0
FischersFritz,34,33,0.0,0.0,0.0,3.0,0,2012-10-31 20:48:29,2013-02-01,2211.0
Reaper35,34,13,2.0,0.0,0.0,1.0,0,2012-11-26 20:23:48,2013-02-01,1587.0
Elekhh,34,30,0.0,0.0,0.0,0.0,0,2013-01-01 12:37:15,2013-02-01,731.0
Klinglton358,34,21,0.0,0.0,0.0,7.0,0,2013-01-20 21:34:06,2013-02-01,266.0
Bjarki S,34,10,4.0,0.0,0.0,1.0,0,2013-01-15 09:36:05,2013-02-01,398.0
Ra'ike,34,24,0.0,0.0,0.0,0.0,0,2012-12-16 22:34:44,2013-02-01,1105.0
David1010,34,16,0.0,0.0,0.0,0.0,0,2013-01-30 08:31:49,2013-02-01,39.0
Cloud668,33,10,0.0,0.0,0.0,1.0,0,2013-01-24 21:33:22,2013-02-01,170.0
Teemeah,32,14,0.0,0.0,0.0,3.0,0,2013-01-19 16:56:34,2013-02-01,295.0
Lbenedix,31,26,1.0,0.0,0.0,0.0,0,2013-01-17 10:43:44,2013-02-01,349.0
분당선M,31,18,1.0,0.0,0.0,13.0,0,2012-11-07 21:54:34,2013-02-01,2042.0
Ericmetro,31,8,8.0,0.0,0.0,0.0,0,2012-10-30 15:02:20,2013-02-01,2240.0
MB-one,31,17,0.0,0.0,0.0,0.0,0,2012-11-29 11:45:03,2013-02-01,1524.0
Tpt,31,19,0.0,0.0,0.0,39.0,0,2012-10-30 10:08:12,2013-02-01,2245.0
Ranching,31,7,0.0,0.0,0.0,17.0,0,2013-01-10 03:15:04,2013-02-01,524.0
ZioNicco,30,21,1.0,0.0,0.0,0.0,0,2013-01-15 15:36:00,2013-02-01,392.0
Bjelleklang,30,22,0.0,0.0,0.0,0.0,0,2013-01-21 20:43:39,2013-02-01,243.0
Missvain,30,16,0.0,0.0,0.0,1.0,0,2012-11-01 15:50:51,2013-02-01,2192.0
Szalax,30,15,0.0,0.0,0.0,4.0,0,2013-01-31 19:55:12,2013-02-01,4.0
213.54.147.2,29,24,0.0,0.0,0.0,0.0,0,0,2013-02-01,0.0
Sylvain Comte,27,18,0.0,0.0,0.0,44.0,0,2013-01-04 13:44:37,2013-02-01,658.0
Cill Droichid,27,24,0.0,0.0,0.0,0.0,0,2012-12-05 23:12:24,2013-02-01,1368.0
Legoktm,27,16,0.0,0.0,0.0,6.0,0,2013-01-19 13:36:40,2013-02-01,298.0
Vogone,27,21,3.0,0.0,0.0,35.0,0,2012-10-30 17:48:57,2013-02-01,2238.0
FelixReimann,26,8,0.0,0.0,0.0,1.0,0,2012-10-30 17:28:42,2013-02-01,2238.0
213.54.79.182,26,21,0.0,0.0,0.0,0.0,0,0,2013-02-01,0.0
Geagea,26,9,0.0,0.0,0.0,0.0,0,2013-01-31 02:00:46,2013-02-01,21.0
Wangxuan8331800,26,8,1.0,0.0,0.0,0.0,0,2013-01-03 02:13:33,2013-02-01,693.0
Od Mishehu,26,13,0.0,0.0,0.0,3.0,0,2008-03-03 07:11:28,2013-02-01,43096.0
ICberg7,26,17,0.0,0.0,0.0,0.0,0,2013-01-17 21:46:15,2013-02-01,338.0
Frysun,26,12,0.0,0.0,0.0,0.0,0,2013-01-31 19:37:36,2013-02-01,4.0
NBS,26,13,0.0,0.0,0.0,0.0,0,2012-10-31 19:43:12,2013-02-01,2212.0
Randykitty,26,12,5.0,0.0,0.0,0.0,0,2012-11-25 10:05:03,2013-02-01,1621.0
213.54.172.12,25,21,0.0,0.0,0.0,0.0,0,0,2013-02-01,0.0
Phso2,24,5,0.0,0.0,0.0,13.0,0,2013-01-23 09:00:39,2013-02-01,206.0
Montgomery,24,13,0.0,0.0,0.0,0.0,0,2012-10-30 11:48:19,2013-02-01,2244.0
MKar,24,9,2.0,0.0,0.0,1.0,0,2012-09-06 09:09:40,2013-02-01,3542.0
Laci.d,24,5,0.0,0.0,0.0,2.0,0,2013-01-19 04:17:31,2013-02-01,307.0
Haplology,24,20,0.0,0.0,0.0,0.0,0,2012-11-12 11:51:40,2013-02-01,1932.0
Gloumouth1,24,19,0.0,0.0,0.0,2.0,0,2012-10-30 14:07:20,2013-02-01,2241.0
Olsi,23,13,0.0,0.0,0.0,2.0,0,2013-01-04 16:18:22,2013-02-01,655.0
Docu,23,13,0.0,0.0,0.0,16.0,0,2009-10-26 19:49:33,2013-02-01,28636.0
88.174.190.218,22,10,0.0,0.0,0.0,0.0,0,0,2013-02-01,0.0
Fxp300,22,19,0.0,0.0,0.0,0.0,0,2013-01-31 15:40:48,2013-02-01,8.0
