"username","noedits","itemdiv","oldedit","editratio","bot_label","anon_label","nopropedits","noontoedit"
"NeverDoING",566,500,145087725,1.132,"0","0",,120
"Jarodalien",564,508,138744063,1.110236220472441,"0","0",,78
"Makki98",564,350,143339088,1.6114285714285714,"0","0",,451
"Metamorforme42",563,162,83749034,3.4753086419753085,"0","0",55,6307
"114.183.56.228 ",559,20,99457728,27.95,"0","1",,1126
"Danneks",559,365,136016578,1.5315068493150685,"0","0",97,28297
"PKM",559,199,105912846,2.809045226130653,"0","0",37,3776
"Joostik",558,364,143453829,1.532967032967033,"0","0",,516
"Ogmios",557,85,119350451,6.552941176470588,"0","0",19,399
"Bomzhik",556,334,70012912,1.6646706586826348,"0","0",,1399
"TintoMeches",552,62,133521219,8.903225806451612,"0","0",84,952
"Rzuwig",550,506,150433054,1.0869565217391304,"0","0",55,583
"Wangfo",549,170,63558528,3.2294117647058824,"0","0",,13
"Orijentolog",548,501,138586130,1.093812375249501,"0","0",,677
"Raymond",547,138,145334983,3.963768115942029,"0","0",49,1935
"Culex",545,475,136886062,1.1473684210526316,"0","0",,842
"Smbbot",544,178,111155134,3.056179775280899,"1","0",,9608
"L-Crt.Rocks are Trad.Jap.Terr.",543,479,86185160,1.1336116910229646,"0","0",10,181
"Green Zero",542,542,141133749,1,"0","0",,1
"YarikUkraine",540,301,139575823,1.7940199335548173,"0","0",11,145
"Kimsaka",538,216,142060549,2.490740740740741,"0","0",2,262
"Kleeblatt187",537,219,142451595,2.452054794520548,"0","0",,2797
"Popolon",535,86,135501402,6.22093023255814,"0","0",14,721
"Eric Duff",534,530,139149485,1.0075471698113208,"0","0",,
"Kanghuitari",530,419,111007024,1.2649164677804297,"0","0",,712
"Lesko987a",529,507,36406167,1.0433925049309665,"0","0",,1
"BohemianRhapsody",526,156,141368041,3.371794871794872,"0","0",49,1461
"Hprmedina",524,524,79514144,1,"0","0",,
"Nizil Shah",521,181,150268795,2.8784530386740332,"0","0",99,2135
"ChongDae",519,448,143246237,1.1584821428571428,"0","0",274,665
"WikiLovesESBot",517,306,47985510,1.6895424836601307,"1","0",,1636
"Der Buckesfelder",516,399,58958952,1.2932330827067668,"0","0",1,43
"Murma174",516,481,83589148,1.0727650727650728,"0","0",86,415
"Izno",514,244,145258582,2.1065573770491803,"0","0",104,5815
